disruption_id,road_id,location_name,disruption_type,passability,flood_depth_m,detour_required,estimated_delay_minutes,wet_season_only,source_id,quality
RD-BAR-001,,Mountain road access to Baraderes,washout,high_clearance_only,,true,,true,SRC-007,provisional
RD-BAR-002,,Baraderes river valley road corridor,flooding,degraded,,true,,true,SRC-007,provisional
RD-BAR-003,,Bay of Baraderes access route,debris,degraded,,true,,true,SRC-007,provisional
RD-PET-001,,Boat access from Petite-Trou-de-Nippes to Baraderes,debris,degraded,,true,,true,SRC-007,provisional
